amount,total
35.13,239.93
27.63,239.93
13.46,239.93
28.86,239.93
64.99,239.93
33.98,239.93
35.88,239.93
28.26,979.06
70.84,979.06
44.9,979.06
28.38,979.06
15.04,979.06
25.21,979.06
23.21,979.06
3.84,979.06
51.57,979.06
25.69,979.06
11.62,979.06
28.6,979.06
16.05,979.06
23.52,979.06
56.72,979.06
47.84,979.06
30.63,979.06
4.91,979.06
34.53,979.06
5.4,979.06
60.04,979.06
40.64,979.06
63.05,979.06
66.92,979.06
24.93,979.06
20.08,979.06
67.16,979.06
26.15,979.06
12.1,979.06
21.23,979.06
37.1,37.1
197.3,269.01
71.71,269.01
15.33,1075.38
29.14,1075.38
30.23,1075.38
47.68,1075.38
88.23,1075.38
38.41,1075.38
48.46,1075.38
7.33,1075.38
20.26,1075.38
15.41,1075.38
18.48,1075.38
22.83,1075.38
21.99,1075.38
31.99,1075.38
25.9,1075.38
27.65,1075.38
4.88,1075.38
17.88,1075.38
24.95,1075.38
3.57,1075.38
27.2,1075.38
24.69,1075.38
26.57,1075.38
35.92,1075.38
15.99,1075.38
29.09,1075.38
299.43,1075.38
19.01,1075.38
56.88,1075.38
105.63,776.92
71.93,776.92
26.45,776.92
75.34,776.92
32.13,776.92
42.1,776.92
15.49,776.92
41.6,776.92
31.13,776.92
21.12,776.92
30.09,776.92
49.25,776.92
16.7,776.92
57.24,776.92
8.92,776.92
34.36,776.92
8.94,776.92
51.4,776.92
50.37,776.92
6.73,776.92
4.2,631.23
37.92,631.23
28.9,631.23
45.33,631.23
17.56,631.23
27.9,631.23
49.61,631.23
3.08,631.23
10.9,631.23
14.09,631.23
24.87,631.23
36.06,631.23
50.38,631.23
24.84,631.23
24.44,631.23
35.97,631.23
61.49,631.23
13.99,631.23
14.54,631.23
17.16,631.23
25.44,631.23
1.74,631.23
5.42,631.23
3.73,631.23
51.67,631.23
16.66,1050.98
10.97,1050.98
28.73,1050.98
22.85,1050.98
6.42,1050.98
15.52,1050.98
23.51,1050.98
47.45,1050.98
17.43,1050.98
21.23,1050.98
84.9,1050.98
72.69,1050.98
11.85,1050.98
42.23,1050.98
57.22,1050.98
22.96,1050.98
22.22,1050.98
31.5,1050.98
7.12,1050.98
69.5,1050.98
94.25,1050.98
3.03,1050.98
46.92,1050.98
27.45,1050.98
29.7,1050.98
19.7,1050.98
13.96,1050.98
22.44,1050.98
70.05,1050.98
90.52,1050.98
25.04,1018.09
55.16,1018.09
118.11,1018.09
24.2,1018.09
37.85,1018.09
