account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
1,20000,2,2,1,24,0,3000,-1,1
2,120000,2,2,2,26,9988,7000,0,1
3,90000,2,2,2,34,44828,3169,0,0
4,50000,2,2,1,37,86820,10368,0,0
5,50000,1,2,1,57,59217,2800,0,0
6,50000,1,1,2,37,59037,47759,0,0
7,500000,1,1,2,29,1499600,3810,0,0
8,100000,2,2,2,23,629,3000,0,0
9,140000,2,3,1,28,27723,14129,0,0
10,20000,1,3,2,35,26919,4104,-2,0
11,200000,2,3,2,34,8072,25941,0,0
12,260000,2,1,2,51,44472,9370,-1,0
13,630000,2,2,2,41,15870,4500,-1,0
14,70000,1,2,2,30,139813,9000,0,1
15,250000,1,1,2,29,172083,3600,0,0
16,50000,2,3,3,23,88513,1650,0,0
17,20000,1,1,2,24,55347,265599,2,1
18,320000,1,1,1,49,271529,0,-1,0
19,360000,2,1,1,49,0,0,-2,0
20,180000,2,1,2,29,0,36694,-2,0
21,130000,2,3,2,39,33348,948,0,0
22,120000,2,2,1,39,948,5421,-1,1
23,70000,2,2,2,26,136923,1128,2,1
24,450000,2,1,1,40,560,5245,-2,1
25,90000,1,1,2,23,20050,3491,-1,0
26,50000,1,3,2,23,88842,1500,0,0
27,60000,1,1,2,27,-119,3512,-1,1
28,50000,2,3,2,30,56426,30687,0,0
29,50000,2,3,1,47,32727,2600,-1,0
30,50000,1,1,2,26,47682,51599,0,0
31,230000,2,1,2,27,66569,2716,-1,0
32,50000,1,2,2,33,69631,8908,0,1
33,100000,1,1,2,32,235250,124002,0,0
34,500000,2,2,1,54,87941,6061,-2,0
35,500000,1,1,1,58,8473,1357,-2,0
36,160000,1,1,2,30,-4295,19537,-2,0
37,280000,1,2,1,40,521724,48288,0,0
38,60000,2,2,2,22,-3649,0,0,0
39,50000,1,1,2,25,0,18306,-2,1
40,280000,1,1,2,31,37429,220840,-1,0
41,360000,1,1,2,33,1003892,7800,0,0
42,70000,2,1,2,25,194387,1800,0,0
43,10000,1,2,2,22,11697,11000,0,0
44,140000,2,2,1,37,201161,5000,0,0
45,40000,2,1,2,30,81042,0,2,0
46,210000,1,1,2,29,0,334,-2,1
47,20000,2,1,2,22,33016,0,-1,1
48,150000,2,5,2,46,1170,31977,0,1
49,380000,1,2,2,32,55740,2909,-1,0
50,20000,1,1,2,24,60408,3000,0,0
51,70000,1,3,2,42,117444,4500,2,1
