tid,account,amount,date,type
1,1,689,2005-07-14,exp
2,2,2682,2005-07-14,exp
3,3,13559,2005-07-14,exp
4,4,49291,2005-07-14,exp
5,5,35835,2005-07-14,exp
6,6,57608,2005-07-14,exp
7,7,445007,2005-07-14,exp
8,8,601,2005-07-14,exp
9,9,12108,2005-07-14,exp
10,10,0,2005-07-14,exp
11,11,5535,2005-07-14,exp
12,12,9966,2005-07-14,exp
13,13,6500,2005-07-14,exp
14,14,65701,2005-07-14,exp
15,15,63561,2005-07-14,exp
16,16,28116,2005-07-14,exp
17,17,17428,2005-07-14,exp
18,18,194663,2005-07-14,exp
19,19,0,2005-07-14,exp
20,20,0,2005-07-14,exp
21,21,24489,2005-07-14,exp
22,22,316,2005-07-14,exp
23,23,45020,2005-07-14,exp
24,24,1473,2005-07-14,exp
25,25,0,2005-07-14,exp
26,26,36023,2005-07-14,exp
27,27,259,2005-07-14,exp
28,28,17163,2005-07-14,exp
29,29,3416,2005-07-14,exp
30,30,17496,2005-07-14,exp
31,31,13266,2005-07-14,exp
32,32,22102,2005-07-14,exp
33,33,82880,2005-07-14,exp
34,34,22722,2005-07-14,exp
35,35,31130,2005-07-14,exp
36,36,-527,2005-07-14,exp
37,37,180422,2005-07-14,exp
38,38,11068,2005-07-14,exp
39,39,0,2005-07-14,exp
40,40,4641,2005-07-14,exp
41,41,206895,2005-07-14,exp
42,42,63949,2005-07-14,exp
43,43,6003,2005-07-14,exp
44,44,62925,2005-07-14,exp
45,45,25921,2005-07-14,exp
46,46,0,2005-07-14,exp
47,47,15800,2005-07-14,exp
48,48,1170,2005-07-14,exp
49,49,15134,2005-07-14,exp
50,50,19476,2005-07-14,exp
51,51,38355,2005-07-14,exp
52,52,43824,2005-07-14,exp
53,53,7600,2005-07-14,exp
54,54,42758,2005-07-14,exp
55,55,31434,2005-07-14,exp
56,56,162,2005-07-14,exp
57,57,8441,2005-07-14,exp
58,58,172308,2005-07-14,exp
59,59,782,2005-07-14,exp
60,60,404205,2005-07-14,exp
61,61,18878,2005-07-14,exp
62,62,69938,2005-07-14,exp
63,63,26591,2005-07-14,exp
64,64,0,2005-07-14,exp
