<<<<<<< HEAD
id,account,amount,Location,Country,Time,tid,transaction_type
1,1,0.99,"b'Brighton, Colorado'",US,2016-11-24T03:41:19.000Z,1,exp
2,2,1,"b'Whitefish, Montana'",US,2016-11-24T03:47:06.000Z,2,exp
3,3,1,"b'Tulsa, Oklahoma'",US,2016-11-24T03:51:02.000Z,3,exp
4,4,1.49,"b'Martins Ferry, Ohio'",US,2016-11-24T03:38:20.000Z,4,exp
5,5,1.49,"b'Martins Ferry, Ohio'",US,2016-11-24T03:52:25.000Z,5,exp
6,6,1.5,"b'Whitefish, Montana'",US,2016-11-24T03:40:48.000Z,6,exp
7,7,1.98,"b'Olympia, Washington'",US,2016-11-24T03:45:40.000Z,7,exp
8,8,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:57:13.000Z,8,exp
9,9,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:57:15.000Z,9,exp
10,10,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:57:21.000Z,10,exp
11,11,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:57:23.000Z,11,exp
12,12,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:58:53.000Z,12,exp
13,13,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:38:43.000Z,13,exp
14,14,1.99,"b'Clearwater, Florida'",US,2016-11-24T04:10:08.000Z,14,exp
15,15,1.99,"b'Scottsville, Virginia'",US,2016-11-24T04:10:48.000Z,15,exp
16,16,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:38:47.000Z,16,exp
17,17,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:38:49.000Z,17,exp
18,18,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:38:58.000Z,18,exp
19,19,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:39:01.000Z,19,exp
20,20,1.99,"b'Harrogate, Tennessee'",US,2016-11-24T03:39:02.000Z,20,exp
21,21,2,"b'Orlando, Florida'",US,2016-11-24T03:58:22.000Z,21,exp
22,22,2,"b'South Range, Wisconsin'",US,2016-11-24T04:06:38.000Z,22,exp
23,23,2,"b'Orlando, Florida'",US,2016-11-24T04:09:49.000Z,23,exp
24,24,2,"b'Whitefish, Montana'",US,2016-11-24T03:43:47.000Z,24,exp
25,25,2.1,"b'Spartanburg, South Carolina'",US,2016-11-24T03:56:56.000Z,25,exp
26,26,2.25,"b'Vancouver, Washington'",US,2016-11-24T04:06:46.000Z,26,exp
27,27,2.45,"b'San Jose, California'",US,2016-11-24T04:00:00.000Z,27,exp
28,28,2.5,"b'Oxnard, California'",US,2016-11-24T03:57:12.000Z,28,exp
29,29,2.5,"b'Oxnard, California'",US,2016-11-24T04:00:56.000Z,29,exp
30,30,2.5,"b'Oxnard, California'",US,2016-11-24T03:55:20.000Z,30,exp
31,31,2.53,"b'Chicago, Illinois'",US,2016-11-24T03:56:39.000Z,31,exp
32,32,3,"b'Mexico, Missouri'",US,2016-11-24T03:51:44.000Z,32,exp
33,33,3,"b'Tulsa, Oklahoma'",US,2016-11-24T03:56:34.000Z,33,exp
34,34,3.29,"b'Cary, North Carolina'",US,2016-11-24T04:03:23.000Z,34,exp
35,35,3.59,"b'Chesapeake, Virginia'",US,2016-11-24T03:48:36.000Z,35,exp
36,36,3.99,"b'Anaheim, California'",US,2016-11-24T03:38:51.000Z,36,exp
37,37,3.99,"b'Woodbridge, Virginia'",US,2016-11-24T03:48:46.000Z,37,exp
38,38,4.7,"b'Calhoun, Georgia'",US,2016-11-24T04:06:50.000Z,38,exp
39,39,4.99,"b'Las Vegas, Nevada'",US,2016-11-24T04:02:06.000Z,39,exp
40,40,4.99,"b'San Diego, California'",US,2016-11-24T04:10:42.000Z,40,exp
41,41,4.99,"b'San Diego, California'",US,2016-11-24T04:10:42.000Z,41,exp
42,42,4.99,"b'San Diego, California'",US,2016-11-24T04:10:42.000Z,42,exp
43,43,4.99,"b'San Diego, California'",US,2016-11-24T04:10:43.000Z,43,exp
44,44,4.99,"b'Lexington, Kentucky'",US,2016-11-24T03:45:34.000Z,44,exp
45,45,4.99,"b'Northville, Michigan'",US,2016-11-24T03:47:43.000Z,45,exp
46,46,4.99,"b'Redmond, Oregon'",US,2016-11-24T03:54:22.000Z,46,exp
47,47,5,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:28.000Z,47,exp
48,48,5,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:28.000Z,48,exp
49,49,5,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:28.000Z,49,exp
50,50,5,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:29.000Z,50,exp
51,51,5,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:29.000Z,51,exp
52,52,5,"b'Sugar Land, Texas'",US,2016-11-24T03:45:03.000Z,52,exp
53,53,5.99,"b'Lexington, Kentucky'",US,2016-11-24T03:46:26.000Z,53,exp
54,54,6.24,"b'Caledonia, New York'",US,2016-11-24T03:40:31.000Z,54,exp
55,55,6.41,"b'Cary, North Carolina'",US,2016-11-24T03:44:44.000Z,55,exp
56,56,6.53,"b'Bard, California'",US,2016-11-24T04:01:25.000Z,56,exp
57,57,6.64,"b'South El Monte, California'",US,2016-11-24T04:06:37.000Z,57,exp
58,58,6.75,"b'Chesapeake, Virginia'",US,2016-11-24T04:08:07.000Z,58,exp
59,59,6.95,"b'Brownsville, Texas'",US,2016-11-24T04:00:51.000Z,59,exp
60,60,6.95,"b'Lake Worth, Florida'",US,2016-11-24T03:46:49.000Z,60,exp
61,61,6.97,"b'Dayton, Ohio'",US,2016-11-24T03:42:17.000Z,61,exp
62,62,6.99,"b'Berlin, Maryland'",US,2016-11-24T03:38:15.000Z,62,exp
63,63,6.99,"b'Calimesa, California'",US,2016-11-24T04:05:04.000Z,63,exp
64,64,6.99,"b'Calimesa, California'",US,2016-11-24T04:08:51.000Z,64,exp
65,65,6.99,"b'Dothan, Alabama'",US,2016-11-24T03:44:18.000Z,65,exp
66,66,7,"b'Tulsa, Oklahoma'",US,2016-11-24T03:59:29.000Z,66,exp
67,67,7,"b'Raleigh, North Carolina'",US,2016-11-24T04:04:26.000Z,67,exp
68,68,7.25,"b'Dayton, Ohio'",US,2016-11-24T03:42:18.000Z,68,exp
69,69,7.44,"b'Dayton, Ohio'",US,2016-11-24T03:46:39.000Z,69,exp
70,70,7.8,"b'West Warwick, Rhode Island'",US,2016-11-24T03:53:11.000Z,70,exp
71,71,7.8,"b'West Warwick, Rhode Island'",US,2016-11-24T03:53:12.000Z,71,exp
72,72,7.95,"b'Irvine, California'",US,2016-11-24T04:02:26.000Z,72,exp
73,73,7.95,"b'Irvine, California'",US,2016-11-24T04:03:50.000Z,73,exp
74,74,7.95,"b'Lakewood, New York'",US,2016-11-24T04:04:34.000Z,74,exp
75,75,7.95,"b'Irvine, California'",US,2016-11-24T04:05:08.000Z,75,exp
76,76,7.95,"b'The Finger Lakes, NY'",US,2016-11-24T03:40:23.000Z,76,exp
