<<<<<<< HEAD
account,amount,location,date,tid,transaction_type
1,38.85,FL,2017-08-04,1,exp
2,38.85,GA,2017-08-04,2,pay
3,12.95,CA,2017-08-04,3,exp
4,12.95,VA,2017-08-04,4,pay
5,12.95,CA,2017-08-04,5,exp
6,12.95,VA,2017-08-04,6,pay
7,25.9,VA,2017-08-04,7,exp
8,38.85,DC,2017-08-04,8,pay
9,12.95,FL,2017-08-04,9,exp
10,12.95,NH,2017-08-04,10,pay
11,38.85,NJ,2017-08-04,11,exp
12,12.95,GA,2017-08-04,12,pay
13,12.95,CA,2017-08-04,13,exp
14,12.95,PA,2017-08-04,14,pay
15,38.85,IL,2017-08-04,15,exp
16,12.95,WA,2017-08-04,16,pay
17,12.95,NY,2017-08-04,17,exp
18,12.95,PA,2017-08-04,18,pay
19,38.85,CA,2017-08-04,19,exp
20,59.95,IL,2017-08-04,20,pay
21,38.85,NC,2017-08-04,21,exp
22,12.95,MS,2017-08-04,22,pay
23,12.95,IN,2017-08-04,23,exp
24,12.95,MA,2017-08-04,24,pay
25,12.95,MA,2017-08-04,25,exp
26,12.95,MA,2017-08-04,26,pay
27,38.85,CA,2017-08-04,27,exp
28,12.95,CA,2017-08-04,28,pay
29,12.95,MD,2017-08-04,29,exp
30,25.9,NJ,2017-08-04,30,pay
31,38.85,VA,2017-08-04,31,exp
32,12.95,SC,2017-08-04,32,pay
33,25.9,IN,2017-08-04,33,exp
34,11.65,FL,2017-08-04,34,pay
35,12.95,KS,2017-08-04,35,exp
36,12.95,MI,2017-08-04,36,pay
37,38.85,CA,2017-08-04,37,exp
38,38.85,MA,2017-08-04,38,pay
39,12.95,MD,2017-08-04,39,exp
40,12.95,NC,2017-08-04,40,pay
41,12.95,OH,2017-08-04,41,exp
42,12.95,CO,2017-08-04,42,pay
43,12.95,FL,2017-08-04,43,exp
44,12.95,NC,2017-08-04,44,pay
45,12.95,MI,2017-08-04,45,exp
46,12.95,AZ,2017-08-04,46,pay
47,12.95,AZ,2017-08-04,47,exp
48,12.95,CO,2017-08-04,48,pay
49,12.95,GA,2017-08-04,49,exp
50,12.95,MA,2017-08-04,50,pay
51,34.95,AZ,2017-08-04,51,exp
52,12.95,GA,2017-08-04,52,pay
53,25.9,SC,2017-08-04,53,exp
54,38.85,NV,2017-08-04,54,pay
55,12.95,RI,2017-08-04,55,exp
56,38.85,GA,2017-08-04,56,pay
57,59.95,NY,2017-08-04,57,exp
58,12.95,CA,2017-08-04,58,pay
59,12.95,CA,2017-08-04,59,exp
60,12.95,AZ,2017-08-04,60,pay
61,12.95,FL,2017-08-04,61,exp
62,12.95,MD,2017-08-04,62,pay
63,12.95,MD,2017-08-04,63,exp
64,25.9,NJ,2017-08-04,64,pay
65,12.95,TX,2017-08-04,65,exp
66,12.95,TX,2017-08-04,66,pay
67,12.95,NH,2017-08-04,67,exp
68,38.85,CA,2017-08-04,68,pay
69,31.08,FL,2017-08-04,69,exp
70,12.95,CA,2017-08-04,70,pay
71,12.95,TN,2017-08-04,71,exp
72,23.3,NV,2017-08-04,72,pay
73,12.95,WA,2017-08-04,73,exp
74,38.85,GA,2017-08-04,74,pay
75,12.95,KY,2017-08-04,75,exp
76,38.85,PA,2017-08-04,76,pay
77,33.03,AZ,2017-08-04,77,exp
78,12.95,WV,2017-08-04,78,pay
79,12.95,FL,2017-08-04,79,exp
80,12.95,NJ,2017-08-04,80,pay
81,12.95,CA,2017-08-04,81,exp
82,38.85,CA,2017-08-04,82,pay
83,12.95,LA,2017-08-04,83,exp
84,12.95,IL,2017-08-04,84,pay
85,12.95,NC,2017-08-04,85,exp
86,12.95,IN,2017-08-04,86,pay
87,33.03,NY,2017-08-04,87,exp
88,12.95,IN,2017-08-04,88,pay
89,59.95,TX,2017-08-04,89,exp
90,12.95,OH,2017-08-04,90,pay
91,12.95,KY,2017-08-04,91,exp
92,38.85,TX,2017-08-04,92,pay
93,12.95,DC,2017-08-04,93,exp
94,38.85,MD,2017-08-04,94,pay
95,38.85,PA,2017-08-04,95,exp
96,38.85,CA,2017-08-04,96,pay
97,12.95,WA,2017-08-04,97,exp
98,49.95,VA,2017-08-04,98,pay
99,12.95,MD,2017-08-04,99,exp
100,12.95,IA,2017-08-04,100,pay
101,38.85,VA,2017-08-04,101,exp
102,25.9,VA,2017-08-04,102,pay
103,12.95,FL,2017-08-04,103,exp
104,25.9,FL,2017-08-04,104,pay
105,38.85,FL,2017-08-04,105,exp
106,38.85,NJ,2017-08-04,106,pay
107,12.95,MO,2017-08-04,107,exp
108,12.95,TX,2017-08-04,108,pay
109,38.85,IL,2017-08-04,109,exp
110,12.95,NC,2017-08-04,110,pay
111,12.95,TN,2017-08-04,111,exp
112,12.95,MO,2017-08-04,112,pay
113,12.95,FL,2017-08-04,113,exp
114,38.85,TN,2017-08-04,114,pay
115,12.95,NV,2017-08-04,115,exp
116,12.95,CA,2017-08-04,116,pay
117,25.9,TX,2017-08-04,117,exp
118,12.95,AR,2017-08-04,118,pay
119,12.95,SC,2017-08-04,119,exp
120,12.95,AL,2017-08-04,120,pay
121,12.95,FL,2017-08-04,121,exp
122,38.85,OH,2017-08-04,122,pay
123,12.95,MO,2017-08-04,123,exp
124,12.95,OR,2017-08-04,124,pay
125,38.85,MO,2017-08-04,125,exp
126,12.95,MO,2017-08-04,126,pay
127,12.95,OH,2017-08-04,127,exp
128,12.95,OH,2017-08-04,128,pay
129,12.95,OH,2017-08-04,129,exp
130,12.95,IL,2017-08-04,130,pay
131,12.95,IA,2017-08-04,131,exp
132,12.95,FL,2017-08-04,132,pay
133,12.95,CA,2017-08-04,133,exp
134,38.85,CA,2017-08-04,134,pay
135,38.85,VA,2017-08-04,135,exp
136,38.85,MD,2017-08-04,136,pay
137,38.85,PA,2017-08-04,137,exp
138,38.85,IL,2017-08-04,138,pay
139,12.95,CA,2017-08-04,139,exp
140,12.95,VA,2017-08-04,140,pay
141,11.65,TX,2017-08-04,141,exp
142,12.95,PA,2017-08-04,142,pay
143,31.08,WI,2017-08-04,143,exp
144,12.95,MS,2017-08-04,144,pay
145,12.95,VA,2017-08-04,145,exp
146,38.85,VA,2017-08-04,146,pay
147,38.85,NV,2017-08-04,147,exp
148,12.95,NY,2017-08-04,148,pay
149,12.95,NV,2017-08-04,149,exp
150,38.85,WI,2017-08-04,150,pay
151,38.85,MA,2017-08-04,151,exp
152,11.65,TX,2017-08-04,152,pay
153,12.95,NY,2017-08-04,153,exp
154,49.95,GA,2017-08-04,154,pay
155,38.85,FL,2017-08-04,155,exp
156,38.85,CA,2017-08-04,156,pay
157,38.85,NY,2017-08-04,157,exp
158,12.95,IL,2017-08-04,158,pay
159,38.85,GA,2017-08-04,159,exp
160,12.95,CA,2017-08-04,160,pay
161,12.95,CA,2017-08-04,161,exp
162,38.85,NC,2017-08-04,162,pay
163,12.95,CA,2017-08-04,163,exp
164,12.95,NC,2017-08-04,164,pay
165,38.85,FL,2017-08-04,165,exp
166,12.95,CA,2017-08-04,166,pay
167,12.95,CA,2017-08-04,167,exp
168,38.85,CO,2017-08-04,168,pay
169,12.95,LA,2017-08-04,169,exp
170,38.85,CA,2017-08-04,170,pay
171,38.85,NY,2017-08-04,171,exp
172,12.95,FL,2017-08-04,172,pay
173,12.95,CA,2017-08-04,173,exp
174,12.95,CA,2017-08-04,174,pay
175,12.95,CA,2017-08-04,175,exp
176,12.95,KS,2017-08-04,176,pay
177,38.85,NM,2017-08-04,177,exp
178,12.95,VA,2017-08-04,178,pay
179,12.95,CA,2017-08-04,179,exp
180,12.95,CA,2017-08-04,180,pay
181,12.95,TX,2017-08-04,181,exp
182,11.65,WI,2017-08-04,182,pay
183,12.95,MI,2017-08-04,183,exp
184,59.95,FL,2017-08-04,184,pay
185,25.9,FL,2017-08-04,185,exp
186,12.95,TX,2017-08-04,186,pay
187,12.95,TX,2017-08-04,187,exp
188,38.85,NY,2017-08-04,188,pay
189,12.95,FL,2017-08-04,189,exp
190,12.95,FL,2017-08-04,190,pay
191,12.95,KY,2017-08-04,191,exp
192,38.85,CA,2017-08-04,192,pay
193,12.95,AL,2017-08-04,193,exp
194,12.95,AL,2017-08-04,194,pay
195,38.85,CA,2017-08-04,195,exp
196,38.85,LA,2017-08-04,196,pay
197,38.85,GA,2017-08-04,197,exp
198,25.9,LA,2017-08-04,198,pay
199,38.85,NY,2017-08-04,199,exp
200,12.95,OH,2017-08-04,200,pay
201,12.95,CO,2017-08-04,201,exp
202,38.85,MI,2017-08-04,202,pay
203,12.95,TX,2017-08-04,203,exp
204,38.85,CA,2017-08-04,204,pay
205,12.95,NY,2017-08-04,205,exp
206,12.95,NC,2017-08-04,206,pay
207,38.85,LA,2017-08-04,207,exp
208,12.95,FL,2017-08-04,208,pay
209,12.95,MI,2017-08-04,209,exp
210,12.95,FL,2017-08-04,210,pay
211,12.95,VA,2017-08-04,211,exp
212,38.85,FL,2017-08-04,212,pay
213,12.95,AZ,2017-08-04,213,exp
214,12.95,OH,2017-08-04,214,pay
215,12.95,NY,2017-08-04,215,exp
216,38.85,GA,2017-08-04,216,pay
217,38.85,LA,2017-08-04,217,exp
218,38.85,NC,2017-08-04,218,pay
219,12.95,NY,2017-08-04,219,exp
220,38.85,CA,2017-08-04,220,pay
